Species,Time,Latitude,Longitude,Altitude_m,Symbol,Section
Sugar Maple,11/11/2013 15:31:14,42.35581,-71.272541,47,Park,LSB SM54
Sugar Maple,11/8/2013 14:59:35,42.3559,-71.272743,53.5,Park,LSB SM54
Sugar Maple,10/23/2013 13:09:52,42.352466,-71.273354,62.1,Park,LSB SM55
Sugar Maple,11/11/2013 15:33:07,42.35577,-71.272548,46.9,Park,LSB SM55
Sugar Maple,11/8/2013 15:01:57,42.355896,-71.272774,53.3,Park,LSB SM55
Sugar Maple,10/23/2013 13:12:38,42.352478,-71.273366,63.7,Park,LSB SM56
Sugar Maple,11/8/2013 15:05:06,42.355983,-71.272788,55.4,Park,LSB SM56
Sugar Maple,11/8/2013 15:07:46,42.355887,-71.272763,53.6,Park,LSB SM57
Sugar Maple,11/8/2013 15:10:23,42.355918,-71.272744,53,Park,LSB SM58
Sugar Maple,11/8/2013 15:14:41,42.355854,-71.272629,50.1,Park,LSB SM59
Sugar Maple,10/28/2013 12:41:14,42.352525,-71.273407,55.6,"Flag, Blue",LSB SM71
Sugar Maple,10/28/2013 12:50:09,42.352515,-71.273447,61,"Flag, Blue",LSB SM72
Sugar Maple,10/29/2013 12:49:53,42.352521,-71.273457,59.3,Park,LSB SM81
Sugar Maple,11/4/2013 13:34:24,42.352307,-71.273723,43.4,Park,LSM SM31
Sugar Maple,10/25/2013 15:20:08,42.354359,-71.271424,39.6,Golf Course,LSC SM 4 10
Sugar Maple,10/25/2013 15:22:36,42.354326,-71.271465,37.4,Golf Course,LSC SM 4 11
Sugar Maple,10/25/2013 15:23:47,42.354348,-71.271564,38.8,Golf Course,LSC SM 4 12
Sugar Maple,10/25/2013 15:25:31,42.354341,-71.271541,39.4,Golf Course,LSC SM 4 13
Sugar Maple,10/25/2013 15:26:46,42.354353,-71.271571,41.3,Golf Course,LSC SM 4 14
Sugar Maple,10/25/2013 15:27:59,42.354368,-71.271603,42.1,Golf Course,LSC SM 4 15
Sugar Maple,10/25/2013 15:29:13,42.354371,-71.27161,41.5,Golf Course,LSC SM 4 16
Sugar Maple,10/25/2013 15:30:29,42.354383,-71.271639,40.5,Golf Course,LSC SM 4 17
Sugar Maple,10/25/2013 15:31:50,42.354391,-71.271666,42.1,Golf Course,LSC SM 4 18
Sugar Maple,10/25/2013 15:33:52,42.354395,-71.27167,44.1,Golf Course,LSC SM 4 19
Sugar Maple,10/25/2013 15:07:37,42.354475,-71.271668,37.7,Golf Course,LSC SM 4 2
Sugar Maple,10/25/2013 15:09:11,42.35445,-71.271625,37.1,Golf Course,LSC SM 4 3
Sugar Maple,10/25/2013 15:10:16,42.354445,-71.271593,37.2,Golf Course,LSC SM 4 4
Sugar Maple,10/28/2013 13:29:41,42.354243,-71.271571,41.2,Golf Course,LSC SM 4 4
Sugar Maple,10/28/2013 13:29:41,42.354243,-71.271571,41.2,Golf Course,LSC SM 4 4
Sugar Maple,10/25/2013 15:11:46,42.354425,-71.271546,36.5,Golf Course,LSC SM 4 5
Sugar Maple,10/28/2013 13:31:41,42.354243,-71.271598,43.6,Golf Course,LSC SM 4 5
Sugar Maple,10/28/2013 13:31:41,42.354243,-71.271598,43.6,Golf Course,LSC SM 4 5
Sugar Maple,10/25/2013 15:13:07,42.354378,-71.271485,36.3,Golf Course,LSC SM 4 6
Sugar Maple,10/28/2013 13:33:29,42.354238,-71.27157,42.1,Golf Course,LSC SM 4 6
Sugar Maple,10/28/2013 13:33:29,42.354238,-71.27157,42.1,Golf Course,LSC SM 4 6
Sugar Maple,10/25/2013 15:14:36,42.354349,-71.271468,37.1,Golf Course,LSC SM 4 7
Sugar Maple,10/28/2013 13:37:15,42.354266,-71.271542,40.2,Golf Course,LSC SM 4 7
Sugar Maple,10/28/2013 13:37:15,42.354266,-71.271542,40.2,Golf Course,LSC SM 4 7
Sugar Maple,10/25/2013 15:17:02,42.354356,-71.271458,39.4,Golf Course,LSC SM 4 8
Sugar Maple,10/25/2013 15:18:20,42.354356,-71.271446,39.3,Golf Course,LSC SM 4 9
Sugar Maple,10/25/2013 15:06:10,42.354444,-71.271663,38,Golf Course,LSC SM 41
Sugar Maple,10/31/2013 13:13:46,42.354283,-71.271831,48,Golf Course,LSC SM4 1
Sugar Maple,11/4/2013 14:13:34,42.354776,-71.271801,17.5,Golf Course,LSC SM4 1
Sugar Maple,11/7/2013 13:19:44,42.354896,-71.27167,-12.1,Golf Course,LSC SM4 1
Sugar Maple,11/8/2013 16:06:31,42.3544,-71.271571,33.7,Golf Course,LSC SM4 1
Sugar Maple,10/18/2013 15:20:47,42.354599,-71.271891,50.4,Civil,LSC SM4 1
Sugar Maple,11/7/2013 13:19:44,42.354896,-71.27167,31,Golf Course,LSC SM4 1
Sugar Maple,10/28/2013 13:18:18,42.354439,-71.271909,34.1,Golf Course,LSC SM4 1
Sugar Maple,11/5/2013 14:54:37,42.354354,-71.271634,65.2,Golf Course,LSC SM4 1
Sugar Maple,11/4/2013 14:13:34,42.354776,-71.271801,17.5,,LSC SM4 1
Sugar Maple,10/28/2013 13:18:18,42.354439,-71.271909,34.1,Golf Course,LSC SM4 1
Sugar Maple,11/11/2013,42.3544,-71.271433,43,,LSC SM4 1
Sugar Maple,10/22/2013 13:42:53,42.354518,-71.271659,38.1,Civil,LSC SM4 1
Sugar Maple,10/24/2013 12:21:06,42.353922,-71.2724,,Civil,LSC SM4 1
Sugar Maple,10/29/2013 13:22:55,42.354311,-71.271607,41.8,Golf Course,LSC SM4 1
Sugar Maple,10/31/2013 13:26:58,42.354294,-71.271788,46.4,Golf Course,LSC SM4 10
Sugar Maple,11/7/2013 13:46:42,42.354194,-71.271433,44.9,Golf Course,LSC SM4 10
Sugar Maple,11/8/2013 16:16:03,42.354473,-71.271689,42.7,Golf Course,LSC SM4 10
Sugar Maple,11/7/2013 13:46:42,42.354194,-71.271433,44.9,Golf Course,LSC SM4 10
Sugar Maple,10/24/2013 12:40:48,42.354434,-71.27163,44.8,Civil,LSC SM4 10
Sugar Maple,10/29/2013 13:40:47,42.354323,-71.27172,41.6,Golf Course,LSC SM4 10
Sugar Maple,10/31/2013 13:27:49,42.354304,-71.271801,45.4,Golf Course,LSC SM4 11
Sugar Maple,11/7/2013 13:49:31,42.354192,-71.271397,46.5,Golf Course,LSC SM4 11
Sugar Maple,11/8/2013 16:17:12,42.354455,-71.271704,40.9,Golf Course,LSC SM4 11
Sugar Maple,11/7/2013 13:49:31,42.354192,-71.271397,46.5,Golf Course,LSC SM4 11
Sugar Maple,10/24/2013 12:42:46,42.354441,-71.27166,47,Civil,LSC SM4 11
Sugar Maple,10/31/2013 13:29:25,42.354289,-71.271813,45.6,Golf Course,LSC SM4 12
Sugar Maple,11/8/2013 16:19:01,42.354446,-71.271696,39.6,Golf Course,LSC SM4 12
Sugar Maple,10/24/2013 12:44:16,42.354412,-71.271661,45.5,Civil,LSC SM4 12
Sugar Maple,10/29/2013 13:48:33,42.354267,-71.271631,40.5,Golf Course,LSC SM4 12
Sugar Maple,10/31/2013 13:30:49,42.354298,-71.271817,45.4,Golf Course,LSC SM4 13
Sugar Maple,11/8/2013 16:19:51,42.354434,-71.271688,40.2,Golf Course,LSC SM4 13
Sugar Maple,10/24/2013 12:45:46,42.354425,-71.271678,45.7,Civil,LSC SM4 13
Sugar Maple,10/29/2013 13:50:34,42.354278,-71.271622,41,Golf Course,LSC SM4 13
Sugar Maple,10/31/2013 13:31:50,42.35428,-71.271811,46.3,Golf Course,LSC SM4 14
Sugar Maple,11/8/2013 16:20:55,42.354478,-71.27175,40.3,Golf Course,LSC SM4 14
Sugar Maple,10/24/2013 12:46:56,42.35441,-71.27167,47.4,Civil,LSC SM4 14
Sugar Maple,10/29/2013 13:53:23,42.354271,-71.271614,42.5,Golf Course,LSC SM4 14
Sugar Maple,10/31/2013 13:33:12,42.354324,-71.271803,45.9,Golf Course,LSC SM4 15
Sugar Maple,11/8/2013 16:21:56,42.354478,-71.271775,40.2,Golf Course,LSC SM4 15
Sugar Maple,10/24/2013 12:48:26,42.35439,-71.271662,48.1,Civil,LSC SM4 15
Sugar Maple,10/29/2013 13:55:27,42.354273,-71.271579,40.1,Golf Course,LSC SM4 15
Sugar Maple,11/8/2013 16:23:15,42.354499,-71.271738,41.4,Golf Course,LSC SM4 16
Sugar Maple,10/24/2013 12:51:00,42.3544,-71.271667,47,Civil,LSC SM4 16
Sugar Maple,10/31/2013 13:35:37,42.354319,-71.271809,47.6,Golf Course,LSC SM4 16A
Sugar Maple,10/31/2013 13:38:20,42.354346,-71.271806,47.2,Golf Course,LSC SM4 17
Sugar Maple,11/8/2013 16:24:27,42.354517,-71.271691,42.4,Golf Course,LSC SM4 17
Sugar Maple,10/24/2013 12:51:22,42.354424,-71.27163,46.5,Civil,LSC SM4 17
Sugar Maple,10/31/2013 13:39:23,42.354356,-71.271807,46.7,Golf Course,LSC SM4 18
Sugar Maple,11/8/2013 16:25:25,42.354521,-71.271685,44.2,Golf Course,LSC SM4 18
Sugar Maple,11/8/2013 16:26:22,42.354527,-71.271721,44.1,Golf Course,LSC SM4 19
Sugar Maple,10/31/2013 13:15:02,42.35424,-71.271716,43.9,Golf Course,LSC SM4 2
Sugar Maple,11/4/2013 14:19:00,42.354337,-71.271789,45.8,Golf Course,LSC SM4 2
Sugar Maple,11/5/2013 14:56:46,42.354422,-71.271675,58.8,Golf Course,LSC SM4 2
Sugar Maple,11/7/2013 13:21:40,42.354496,-71.271594,35.6,Golf Course,LSC SM4 2
Sugar Maple,11/8/2013 16:07:56,42.354461,-71.271622,43.3,Golf Course,LSC SM4 2
Sugar Maple,10/18/2013 15:23:43,42.354582,-71.271868,51.7,Civil,LSC SM4 2
Sugar Maple,11/7/2013 13:21:40,42.354496,-71.271594,35.6,Golf Course,LSC SM4 2
Sugar Maple,10/28/2013 13:23:40,42.354305,-71.271617,40.3,Golf Course,LSC SM4 2
Sugar Maple,11/5/2013 14:56:46,42.354422,-71.271675,58.8,Golf Course,LSC SM4 2
Sugar Maple,11/4/2013 14:19:00,42.354337,-71.271789,45.8,,LSC SM4 2
Sugar Maple,10/28/2013 13:23:40,42.354305,-71.271617,40.3,Golf Course,LSC SM4 2
Sugar Maple,11/11/2013 16:13:33,42.354382,-71.271418,40.8,Golf Course,LSC SM4 2
Sugar Maple,10/22/2013 13:47:11,42.354474,-71.271637,39.3,Civil,LSC SM4 2
Sugar Maple,10/24/2013 12:24:17,42.354597,-71.271901,45.8,Civil,LSC SM4 2
Sugar Maple,10/29/2013 13:25:14,42.354249,-71.271696,44.4,Golf Course,LSC SM4 2
Sugar Maple,10/25/2013 15:35:30,42.354389,-71.271721,45.5,Golf Course,LSC SM4 20
Sugar Maple,11/8/2013 16:27:35,42.354534,-71.271724,43.8,Golf Course,LSC SM4 20
Sugar Maple,10/25/2013 15:36:44,42.354375,-71.271736,43.5,Golf Course,LSC SM4 21
Sugar Maple,11/8/2013 16:28:44,42.354539,-71.271721,44.9,Golf Course,LSC SM4 21
Sugar Maple,10/25/2013 15:37:46,42.354364,-71.271728,43.7,Golf Course,LSC SM4 22
Sugar Maple,11/8/2013 16:29:38,42.354553,-71.271716,44.8,Golf Course,LSC SM4 22
Sugar Maple,10/25/2013 15:39:15,42.35435,-71.271737,43.3,Golf Course,LSC SM4 23
Sugar Maple,11/8/2013 16:30:36,42.354551,-71.271717,46.3,Golf Course,LSC SM4 23
Sugar Maple,10/25/2013 15:40:51,42.354359,-71.271753,45.5,Golf Course,LSC SM4 24
Sugar Maple,11/8/2013 16:31:32,42.354551,-71.271734,45.4,Golf Course,LSC SM4 24
Sugar Maple,10/25/2013 15:42:11,42.354364,-71.271735,45.4,Golf Course,LSC SM4 25
Sugar Maple,11/8/2013 16:32:20,42.354548,-71.271737,45.2,Golf Course,LSC SM4 25
Sugar Maple,10/25/2013 15:43:25,42.35436,-71.271738,45.6,Golf Course,LSC SM4 26
Sugar Maple,11/8/2013 16:33:26,42.354553,-71.27174,44.8,Golf Course,LSC SM4 26
Sugar Maple,10/25/2013 15:44:25,42.354381,-71.271766,45.5,Golf Course,LSC SM4 27
Sugar Maple,11/8/2013 16:34:31,42.354554,-71.271755,43.9,Golf Course,LSC SM4 27
Sugar Maple,10/25/2013 15:45:33,42.354387,-71.271785,47.7,Golf Course,LSC SM4 28
Sugar Maple,11/8/2013 16:35:37,42.354552,-71.271759,43.4,Golf Course,LSC SM4 28
Sugar Maple,10/25/2013 15:46:40,42.354386,-71.271785,49.6,Golf Course,LSC SM4 29
Sugar Maple,11/8/2013 16:36:35,42.354533,-71.27177,42.5,Golf Course,LSC SM4 29
Sugar Maple,10/31/2013 13:16:37,42.35423,-71.271732,46.1,Golf Course,LSC SM4 3
Sugar Maple,11/4/2013 14:20:24,42.354317,-71.271832,45.2,Golf Course,LSC SM4 3
Sugar Maple,11/5/2013 14:58:38,42.354379,-71.271623,61.1,Golf Course,LSC SM4 3
Sugar Maple,11/7/2013 13:23:34,42.354449,-71.271563,39.6,Golf Course,LSC SM4 3
Sugar Maple,11/8/2013 16:09:32,42.354449,-71.271592,41.5,Golf Course,LSC SM4 3
Sugar Maple,11/7/2013 13:23:34,42.354449,-71.271563,39.6,Golf Course,LSC SM4 3
Sugar Maple,10/28/2013 13:27:12,42.354271,-71.271596,40.5,Golf Course,LSC SM4 3
Sugar Maple,11/5/2013 14:58:38,42.354379,-71.271623,61.1,Golf Course,LSC SM4 3
Sugar Maple,11/4/2013 14:20:24,42.354317,-71.271832,45.2,,LSC SM4 3
Sugar Maple,10/28/2013 13:27:12,42.354271,-71.271596,40.5,Golf Course,LSC SM4 3
Sugar Maple,11/11/2013 16:15:03,42.35438,-71.271439,40.6,Golf Course,LSC SM4 3
Sugar Maple,10/22/2013 13:49:20,42.354449,-71.271625,40,Civil,LSC SM4 3
Sugar Maple,10/24/2013 12:25:46,42.354591,-71.271881,45.3,Civil,LSC SM4 3
Sugar Maple,10/29/2013 13:29:06,42.354241,-71.271719,42.7,Golf Course,LSC SM4 3
Sugar Maple,10/25/2013 15:47:54,42.354357,-71.271777,50.4,Golf Course,LSC SM4 30
Sugar Maple,11/8/2013 16:37:31,42.354527,-71.271786,40.2,Golf Course,LSC SM4 30
Sugar Maple,11/8/2013 16:38:37,42.354532,-71.271765,39.3,Golf Course,LSC SM4 31
Sugar Maple,11/8/2013 16:39:40,42.354527,-71.271763,39.9,Golf Course,LSC SM4 32
Sugar Maple,11/8/2013 16:40:39,42.354516,-71.271744,40.9,Golf Course,LSC SM4 33
Sugar Maple,11/8/2013 16:41:34,42.35451,-71.271716,41.1,Golf Course,LSC SM4 34
Sugar Maple,11/8/2013 16:42:22,42.354514,-71.271721,41.8,Golf Course,LSC SM4 35
Sugar Maple,11/8/2013 16:43:20,42.354518,-71.271711,41.8,Golf Course,LSC SM4 36
Sugar Maple,11/8/2013 16:44:38,42.354508,-71.271704,42.5,Golf Course,LSC SM4 37
Sugar Maple,11/8/2013 16:45:33,42.354503,-71.271721,43.2,Golf Course,LSC SM4 38
Sugar Maple,11/8/2013 16:46:43,42.354496,-71.271702,43.7,Golf Course,LSC SM4 39
Sugar Maple,10/31/2013 13:19:30,42.354286,-71.271728,44.5,Golf Course,LSC SM4 4
Sugar Maple,11/4/2013 14:21:37,42.354343,-71.271821,45.4,Golf Course,LSC SM4 4
Sugar Maple,11/7/2013 13:26:32,42.354436,-71.271566,38.2,Golf Course,LSC SM4 4
Sugar Maple,11/8/2013 16:10:49,42.354499,-71.271633,41.3,Golf Course,LSC SM4 4
Sugar Maple,11/7/2013 13:26:32,42.354436,-71.271566,38.2,Golf Course,LSC SM4 4
Sugar Maple,11/4/2013 14:21:37,42.354343,-71.271821,45.4,,LSC SM4 4
Sugar Maple,11/11/2013 16:17:03,42.354387,-71.271349,41,Golf Course,LSC SM4 4
Sugar Maple,10/22/2013 13:51:41,42.354473,-71.271616,40.9,Civil,LSC SM4 4
Sugar Maple,10/24/2013 12:27:35,42.354601,-71.271878,45,Civil,LSC SM4 4
Sugar Maple,10/29/2013 13:27:06,42.354247,-71.271657,42.1,Golf Course,LSC SM4 4
Sugar Maple,11/8/2013 16:48:03,42.354506,-71.271749,41.7,Golf Course,LSC SM4 40
Sugar Maple,10/31/2013 13:20:36,42.354285,-71.271752,43.8,Golf Course,LSC SM4 5
Sugar Maple,11/4/2013 14:23:22,42.354354,-71.271795,47.4,Golf Course,LSC SM4 5
Sugar Maple,11/7/2013 13:28:28,42.354421,-71.271565,39.3,Golf Course,LSC SM4 5
Sugar Maple,11/8/2013 16:11:34,42.354507,-71.271655,41.2,Golf Course,LSC SM4 5
Sugar Maple,11/7/2013 13:28:28,42.354421,-71.271565,39.3,Golf Course,LSC SM4 5
Sugar Maple,11/4/2013 14:23:22,42.354354,-71.271795,47.4,,LSC SM4 5
Sugar Maple,11/11/2013 16:18:45,42.354402,-71.271338,40.9,Golf Course,LSC SM4 5
Sugar Maple,10/22/2013 13:52:53,42.354486,-71.271595,40.8,Civil,LSC SM4 5
Sugar Maple,10/24/2013 12:29:26,42.354593,-71.271888,46.1,Civil,LSC SM4 5
Sugar Maple,10/29/2013 13:30:08,42.354235,-71.271721,42.8,Golf Course,LSC SM4 5
Sugar Maple,10/31/2013 13:21:34,42.354301,-71.271757,44.1,Golf Course,LSC SM4 6
Sugar Maple,11/4/2013 14:24:56,42.354371,-71.271798,48.2,Golf Course,LSC SM4 6
Sugar Maple,11/7/2013 13:32:06,42.35427,-71.271516,40.1,Golf Course,LSC SM4 6
Sugar Maple,11/8/2013 16:12:31,42.354504,-71.27165,43.2,Golf Course,LSC SM4 6
Sugar Maple,11/7/2013 13:32:06,42.35427,-71.271516,40.1,Golf Course,LSC SM4 6
Sugar Maple,11/4/2013 14:24:56,42.354371,-71.271798,48.2,,LSC SM4 6
Sugar Maple,11/11/2013 16:24:20,42.354289,-71.271481,40.4,Golf Course,LSC SM4 6
Sugar Maple,10/22/2013 13:54:45,42.354461,-71.271613,41.6,Civil,LSC SM4 6
Sugar Maple,10/24/2013 12:31:24,42.354634,-71.271869,45.7,Civil,LSC SM4 6
Sugar Maple,10/29/2013 13:31:50,42.354253,-71.271693,44,Golf Course,LSC SM4 6
Sugar Maple,10/31/2013 13:22:32,42.354294,-71.271776,44.6,Golf Course,LSC SM4 7
Sugar Maple,10/31/2013 13:23:55,42.354294,-71.271769,46.9,Golf Course,LSC SM4 7
Sugar Maple,11/4/2013 14:26:20,42.354387,-71.271809,49.5,Golf Course,LSC SM4 7
Sugar Maple,11/7/2013 13:37:29,42.354245,-71.271423,43.2,Golf Course,LSC SM4 7
Sugar Maple,11/8/2013 16:13:30,42.354488,-71.271663,42.6,Golf Course,LSC SM4 7
Sugar Maple,11/7/2013 13:37:29,42.354245,-71.271423,43.2,Golf Course,LSC SM4 7
