Species,Time,Latitude,Longitude,Altitude_m,Symbol,Section
Sugar Maple,10/21/2013 13:26:47,42.354544,-71.271841,43.1,Civil,LSC SM44
Sugar Maple,10/18/2013 15:28:12,42.354565,-71.271854,50.3,Civil,LSC SM44
Sugar Maple,10/21/2013 13:28:30,42.354547,-71.271853,45.5,Civil,LSC SM45
Sugar Maple,10/18/2013 15:30:21,42.354577,-71.271857,48.4,Civil,LSC SM45
Sugar Maple,10/21/2013 13:29:49,42.354547,-71.271841,46.1,Civil,LSC SM46
Sugar Maple,10/18/2013 15:31:53,42.354571,-71.271859,49.5,Civil,LSC SM46
Sugar Maple,10/21/2013 13:30:57,42.354542,-71.271835,45.1,Civil,LSC SM47
Sugar Maple,10/18/2013 15:33:14,42.35457,-71.271874,49.2,Civil,LSC SM47
Sugar Maple,10/21/2013 13:32:07,42.354532,-71.271822,44,Civil,LSC SM48
Sugar Maple,10/18/2013 15:35:05,42.354551,-71.271886,48.9,Civil,LSC SM48
Sugar Maple,10/18/2013 15:36:32,42.354546,-71.271872,49.1,Civil,LSC SM49
Sugar Maple,10/25/2013 15:08:50,42.354731,-71.272286,38.9,Park,LSC SM5 1
Sugar Maple,10/25/2013 15:10:58,42.354742,-71.272299,40.2,Park,LSC SM5 2
Sugar Maple,10/25/2013 15:15:29,42.354732,-71.272253,42.6,Park,LSC SM5 3
Sugar Maple,10/25/2013 15:22:26,42.354365,-71.27157,36.3,Park,LSC SM5 4
Sugar Maple,10/25/2013 15:24:28,42.354372,-71.271593,36.9,Park,LSC SM5 5
Sugar Maple,10/25/2013 15:25:43,42.354386,-71.271596,37.1,Park,LSC SM5 6
Sugar Maple,10/25/2013 15:29:40,42.354369,-71.271573,37.5,Park,LSC SM5 7
Sugar Maple,10/25/2013 15:31:13,42.354387,-71.271565,39.5,Park,LSC SM5 8
Sugar Maple,10/25/2013 15:42:09,42.35426,-71.271686,43.7,Park,LSC SM5 9
Sugar Maple,10/31/2013 9:10:00,42.35345,-71.271917,43,,LSC SM51
Sugar Maple,10/28/2013 13:17:25,42.352573,-71.273407,60,Park,LSC SM51
Sugar Maple,10/31/2013 9:15:00,42.353683,-71.27155,43,,LSC SM52
Sugar Maple,10/28/2013 13:27:05,42.353162,-71.271792,45.7,Park,LSC SM52
Sugar Maple,10/31/2013 9:20:00,42.354183,-71.271633,45,,LSC SM53
Sugar Maple,10/28/2013 13:29:34,42.353222,-71.271774,47.1,Park,LSC SM53
Sugar Maple,10/31/2013 9:26:00,42.354233,-71.271617,44,,LSC SM54
Sugar Maple,10/28/2013 13:34:02,42.353311,-71.271722,76.4,Park,LSC SM54
Sugar Maple,10/31/2013 9:28:00,42.354217,-71.2716,47,,LSC SM55
Sugar Maple,10/28/2013 13:35:16,42.353406,-71.271806,46.1,Park,LSC SM55
Sugar Maple,10/31/2013 9:31:00,42.354217,-71.27155,46,,LSC SM56
Sugar Maple,10/28/2013 13:37:04,42.353425,-71.271703,43.4,Park,LSC SM56
Sugar Maple,10/28/2013 13:38:15,42.353428,-71.271685,44.5,Park,LSC SM57
Sugar Maple,10/18/2013 15:25:33,42.354572,-71.271854,51.1,Civil,LSCSM4 3
Sugar Maple,10/31/2013 9:32:00,42.354217,-71.271533,45,,LSCSM57
